id,hex,name,rws,type,unit,scale,min,max,desc,rule,default,auth
273,0x111,Journal:8Hours,R,?uint,h,1,,,Journal entry 8 operating hours,,,-
274,0x112,Journal:9Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 9 event code,,,-
275,0x113,Journal:9Hours,R,?uint,h,1,,,Journal entry 9 operating hours,,,-
276,0x114,Journal:10Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 10 event code,,,-
277,0x115,Journal:10Hours,R,?uint,h,1,,,Journal entry 10 operating hours,,,-
278,0x116,Journal:11Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 11 event code,,,-
279,0x117,Journal:11Hours,R,?uint,h,1,,,Journal entry 11 operating hours,,,-
280,0x118,Journal:12Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 12 event code,,,-
281,0x119,Journal:12Hours,R,?uint,h,1,,,Journal entry 12 operating hours,,,-
282,0x11A,Journal:13Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 13 event code,,,-
283,0x11B,Journal:13Hours,R,?uint,h,1,,,Journal entry 13 operating hours,,,-
284,0x11C,Journal:14Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 14 event code,,,-
285,0x11D,Journal:14Hours,R,?uint,h,1,,,Journal entry 14 operating hours,,,-
286,0x11E,Journal:15Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 15 event code,,,-
287,0x11F,Journal:15Hours,R,?uint,h,1,,,Journal entry 15 operating hours,,,-
288,0x120,Journal:16Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 16 event code,,,-
289,0x121,Journal:16Hours,R,?uint,h,1,,,Journal entry 16 operating hours,,,-
